state,district,lat,lng,baseline_risk
A & N Islands,Nicobar,12.3649593,92.9242261,0.0009820770930518046
A & N Islands,North & Middle Andaman,13.2277144,92.9394925,0.01301252148293641
A & N Islands,South Andaman,12.7720659,92.6556293,0.01939602258777314
Andhra Pradesh,Anantapur,14.6783221,77.6065039,0.23373434814632948
Andhra Pradesh,Chittoor,13.325036,79.6480611,0.08986005401424012
Andhra Pradesh,Cuddapah,14.4956602,78.8349278,0.1694082985514363
Andhra Pradesh,East Godavari,16.9956639,81.7154378,0.35305671495212376
Andhra Pradesh,Guntur,16.2915189,80.4541588,0.32531303707341025
Andhra Pradesh,Guntur Urban,16.3152154,80.4367429,0.2145838448318193
Andhra Pradesh,Krishna,16.2135466,81.0277844,0.34053523201571323
Andhra Pradesh,Kurnool,15.8309251,78.0425373,0.422047630739013
Andhra Pradesh,Nellore,14.4493717,79.9873763,0.26098698747851706
Andhra Pradesh,Prakasham,17.0070088,81.7879635,0.22244046157623373
Andhra Pradesh,Rajahmundry,17.0050454,81.7804732,0.10680088386938374
Andhra Pradesh,Srikakulam,18.2949307,83.8938844,0.11293886570095753
Andhra Pradesh,Tirupathi Urban,13.6171182,79.4205237,0.055978394303952864
Andhra Pradesh,Vijayawada City,16.5115306,80.6160469,0.15737785416155167
Andhra Pradesh,Visakha Rural,17.8044271,83.344824,0.08421311072919224
Andhra Pradesh,Visakhapatnam,17.6935526,83.2921297,0.22145838448318192
Andhra Pradesh,Vizianagaram,18.1141255,83.4114389,0.15344954578934447
Andhra Pradesh,West Godavari,16.6443029,81.5885247,0.3815369506506261
Arunachal Pradesh,Anjaw,28.1553856,96.8407212,0.0
Arunachal Pradesh,Changlang,27.2698797,96.0602442,0.005155904738521974
Arunachal Pradesh,Dibang Valley,28.8291044,95.9554096,0.00024551927326295114
Arunachal Pradesh,Kameng East,27.557781,93.0753012,0.0029462312791554137
Arunachal Pradesh,Kameng West,27.2625165,92.4228984,0.0024551927326295114
Arunachal Pradesh,Kurung Kumey,27.9863677,93.1578347,0.0012275963663147557
Arunachal Pradesh,Lohit,28.0350162,96.1713515,0.0105573287503069
Arunachal Pradesh,Longding,26.8794546,95.3155652,0.0
Arunachal Pradesh,Lower Dibang Valley,28.2149563,95.878774,0.0027007120058924624
Arunachal Pradesh,Siang,28.477492,94.8165573,0.0012275963663147557
Arunachal Pradesh,Siang East,28.0580363,95.3322182,0.011539405843358703
Arunachal Pradesh,Siang Upper,29.1113601,95.3809335,0.001718634912840658
Arunachal Pradesh,Siang West,28.4159693,94.6778789,0.007120058924625583
Arunachal Pradesh,Subansiri Lower,27.5385824,93.815392,0.0027007120058924624
Arunachal Pradesh,Subansiri Upper,28.2596054,94.0938106,0.006383501104836729
Arunachal Pradesh,Tawang,27.5879186,91.863733,0.0004910385465259023
Arunachal Pradesh,Tirap,27.030169,95.4979175,0.0024551927326295114
Assam,B. I. E. O.,26.4073841,93.2551303,0.0
Assam,Baksa,26.6275689,91.3388551,0.09182420820034373
Assam,Barpeta,26.345941,91.039708,0.658482690891235
Assam,Biswanath,26.7938596,93.3591936,0.09526147802602504
Assam,Bongaigaon,26.4800126,90.5580387,0.09133316965381783
Assam,C. I. D.,26.4073841,93.2551303,0.00024551927326295114
Assam,Cachar,24.75864,92.8816648,0.24208200343726982
Assam,Chirang,26.6464231,90.624157,0.04959489319911613
Assam,Darrang,26.4373481,92.0047145,0.30370734102627056
Assam,Dhemaji,27.5945155,94.7192098,0.08273999508961453
Assam,Dhubri,26.132275,90.1249962,0.49619445126442424
Assam,Dibrugarh,27.4844597,94.9019447,0.16695310581880676
Assam,Dima Hasao,25.4003625,93.0752292,0.007856616744414437
Assam,Goalpara,26.0491877,90.6001859,0.26908912349619446
Assam,Golaghat,26.5108262,93.9743686,0.16007856616744415
Assam,Guwahati City,26.1805978,91.753943,0.42695801620427204
Assam,Hailakandi,24.6846916,92.5645836,0.16400687453965138
Assam,Hamren,25.8449919,92.5748777,0.014485637122514118
Assam,Hojai,25.9629402,92.981829,0.15197643014976675
Assam,Jorhat,26.7577925,94.2079645,0.17456420328995825
Assam,Kamrup,26.1468861,91.2227397,0.2116376135526639
Assam,Karbi Anglong,26.0712781,93.4552969,0.0422293150012276
Assam,Karimganj,24.5828196,92.3725487,0.1723545298305917
Assam,Kokrajhar,26.4912104,90.1215209,0.1171126933464277
Assam,Lakhimpur,27.1763356,94.1992932,0.18045666584826908
Assam,Majuli,27.0219529,94.327423,0.01080284802356985
Assam,Morigaon,26.2545556,92.3572669,0.2054996317210901
Assam,Nagaon,26.3313646,92.7524763,0.3648416400687454
Assam,Nalbari,26.3533632,91.3983662,0.09157868892708078
Assam,R. P. O.,26.4073841,93.2551303,0.006137981831573778
Assam,S. T. F.,26.4073841,93.2551303,0.0
Assam,Sadia,27.4879722,95.3601855,0.008347655290940338
Assam,Sibsagar,26.9834936,94.6394226,0.2256322121286521
Assam,Sonitpur,26.7677707,92.7014089,0.18315737785416156
Assam,South Salmara,25.9056914,89.9918057,0.11146575006137982
Assam,Tinsukia,27.4879722,95.3601855,0.08175791799656273
Assam,Udalguri,26.7047238,92.0421507,0.047876258286275473
Bihar,Araria,26.1346459,87.4654062,0.056469432850478764
Bihar,Arwal,25.1812832,84.6596648,0.03019887061134299
Bihar,Aurangabad,24.8033201,84.4110198,0.06653572305425975
Bihar,Bagaha,27.0590112,84.2064638,0.04051068008838694
Bihar,Banka,24.8328273,86.8161114,0.057451509943530564
Bihar,Begusarai,25.5125411,86.0883392,0.08273999508961453
Bihar,Bettiah,26.8023,84.5074,0.10336361404370244
Bihar,Bhabhua,24.975466,83.5768379,0.05155904738521974
Bihar,Bhagalpur,25.2861354,87.1304229,0.09747115148539161
Bihar,Bhojpur,25.4501182,84.5635193,0.07193714706604469
Bihar,Buxar,25.5044834,84.1097525,0.05254112447827154
Bihar,Darbhanga,26.0829899,86.0324951,0.12447827154431623
Bihar,Gaya,24.7964355,85.0079563,0.17480972256322122
Bihar,Gopalganj,26.4211166,84.3739133,0.08863245764792536
Bihar,Jamui,24.7562514,86.3011128,0.0427203535477535
Bihar,Jehanabad,25.1529579,85.0065043,0.04075619936164989
Bihar,Katihar,25.5586421,87.6457196,0.0964890743923398
Bihar,Khagaria,25.4930513,86.6982264,0.05573287503068991
Bihar,Kishanganj,26.2984144,87.9466715,0.0638350110483673
Bihar,Lakhisarai,25.1543938,86.1744959,0.03756444880923152
Bihar,Madhepura,25.7806118,86.9364753,0.038301006629020376
Bihar,Madhubani,26.3503076,86.2296424,0.12226859808494966
Bihar,Motihari,26.6506888,84.9114654,0.13945494721335625
Bihar,Munger,25.2202864,86.5161484,0.027252639332187578
Bihar,Muzaffarpur,26.1482548,85.3316097,0.19371470660446846
Bihar,Nalanda,25.1364914,85.4436546,0.13356248465504542
Bihar,Naugachia,25.3857731,87.0997616,0.026761600785661675
Bihar,Nawadah,24.8858896,85.5481255,0.06457156886815615
Bihar,Patna,25.6093239,85.1235252,0.40829855143628774
Bihar,Purnea,25.7773601,87.4731227,0.06604468450773386
Bihar,Rohtas,24.9394143,84.0197031,0.06358949177510434
Bihar,Saharsa,25.8330757,86.6143751,0.0427203535477535
Bihar,Samastipur,25.7747885,85.8672314,0.09943530567149521
Bihar,Saran,25.9214451,84.7759731,0.12791554136999755
Bihar,Sheikhpura,25.1250741,85.8160771,0.02774367787871348
Bihar,Sheohar,26.4934234,85.2717561,0.014240117849251166
Bihar,Sitamarhi,26.5942841,85.500428,0.10410017186349128
Bihar,Siwan,26.131008,84.3910745,0.08494966854898109
Bihar,Supaul,26.2768089,86.7959614,0.0633439725018414
Bihar,Vaishali,25.7491703,85.3972164,0.11490301988706113
Chandigarh,Chandigarh,30.7334421,76.7797143,0.11367542352074637
Chhattisgarh,Balod,20.7277192,81.1446948,0.03461821753007611
Chhattisgarh,Balrampur,23.6282576,83.4810916,0.05033145101890498
Chhattisgarh,Bemetra,21.6783867,81.4412578,0.028725754971765282
Chhattisgarh,Bilaspur,22.1638486,82.1365923,0.12644242573041983
Chhattisgarh,Bizapur,18.7935679,80.815939,0.007120058924625583
Chhattisgarh,Dantewara,18.9080594,81.3557636,0.007365578197888534
Chhattisgarh,Dhamtari,20.5326259,81.7155987,0.024060888779769214
Chhattisgarh,Durg,21.1982964,81.4007922,0.1436287748588264
Chhattisgarh,Gariyaband,20.5267561,82.1917217,0.026761600785661675
Chhattisgarh,Jagdalpur,19.0870758,82.0235715,0.037809968082494476
Chhattisgarh,Janjgir,22.0090841,82.578896,0.08028480235698503
Chhattisgarh,Jashpur,22.770251,83.9708013,0.050085931745642034
Chhattisgarh,Kabirdham,22.1150085,81.2446944,0.03879204517554628
Chhattisgarh,Kanker,20.2692747,81.4932111,0.037318929535968576
Chhattisgarh,Kondagaon,19.5885769,81.6628742,0.01988706113429904
Chhattisgarh,Korba,22.5198217,82.6350029,0.056960471397004664
Chhattisgarh,Koriya,23.476254,82.4776374,0.056960471397004664
Chhattisgarh,Mahasamund,21.1922846,82.4890263,0.04713970046648662
Chhattisgarh,Mungali,22.0661098,81.6874282,0.02995335133808004
Chhattisgarh,Narayanpur,19.5842032,81.1136986,0.0031917505524183647
Chhattisgarh,Raigarh,22.2361795,83.3529534,0.09010557328750307
Chhattisgarh,Raipur,21.2380912,81.6336993,0.17775595384237663
Chhattisgarh,Rajnandgaon,21.0684425,80.7970779,0.060888779769211886
Chhattisgarh,Sarguja,22.9470108,83.1656868,0.044193469187331205
Chhattisgarh,Sukma,18.2665423,81.2925234,0.004173827645470169
Chhattisgarh,Surajpur,23.3577769,82.9761277,0.05155904738521974
D&N Haveli,D&N Haveli,20.2733946,73.0044983,0.006137981831573778
Daman & Diu,Daman,20.4169701,72.833173,0.005401424011784925
Daman & Diu,Diu,20.7260366,70.9843583,0.0014731156395777069
Delhi Ut,Central,22.5724857,88.3587427,0.17554628038301007
Delhi Ut,East,12.8504319,77.6601401,0.4728701203044439
Delhi Ut,New Delhi,28.6138954,77.2090057,0.027989197151976432
Delhi Ut,North,10.5276682,79.5078054,0.12693346427694574
Delhi Ut,North-East,26.1144181,91.8053225,0.44095261478026027
Delhi Ut,North-West,13.0222347,77.5671832,0.32629511416646206
Delhi Ut,Outer,28.7603404,77.0362476,0.5607660201325804
Delhi Ut,South,28.4992605,77.1743624,0.6658482690891235
Delhi Ut,South-East,28.5591636,77.2402846,0.4274490547507979
Delhi Ut,South-West,5.3116321,100.2656047,0.43358703658237174
Delhi Ut,West,28.6409705,77.0949778,0.47925362140928063
Goa,C. I. D.,15.3004543,74.0855134,0.003437269825681316
Goa,North Goa,15.6038925,73.9967006,0.048367296832801374
Goa,South Goa,15.3376121,73.9937035,0.037809968082494476
Gujarat,Ahmedabad City,23.0215374,72.5800568,0.26172354529830594
Gujarat,Ahmedabad Rural,22.5809103,72.9784557,0.028725754971765282
Gujarat,Amreli,21.4176122,71.249609,0.0542597593911122
Gujarat,Anand,22.4739858,72.7361779,0.06506260741468205
Gujarat,Arvalli,23.4843216,73.3986096,0.027498158605450528
Gujarat,Banaskantha,24.2693869,72.5367513,0.09084213110729192
Gujarat,Bharuch,21.7080427,72.9956936,0.0422293150012276
Gujarat,Bhavnagar,21.7718836,72.1416449,0.04763073901301252
Gujarat,Botad,22.0467097,71.6689617,0.01767738767493248
Gujarat,Chhotaudepur,22.2224345,73.7778749,0.012030444389884607
Gujarat,Dahod,22.9194099,74.1342725,0.06162533758900074
Gujarat,Dang,20.7881718,73.7092033,0.00441934691873312
Gujarat,Devbhumi Dwarka,22.2473679,68.9682073,0.018168426221458384
Gujarat,Gandhinagar,23.2232877,72.6492267,0.048367296832801374
Gujarat,Gir Somnath,20.9298181,70.7627578,0.0427203535477535
Gujarat,Jamnagar,22.4732415,70.0552102,0.06211637613552664
Gujarat,Junagadh,21.5220416,70.4582458,0.06702676160078566
Gujarat,Kheda,22.8532503,72.9953586,0.04443898846059416
Gujarat,Mahisagar,23.1912194,73.6644398,0.020623618954087895
Gujarat,Mehsana,23.6012628,72.3741516,0.07905720599067027
Gujarat,Morbi,22.8003959,70.886232,0.025534004419346917
Gujarat,Narmada,21.7392624,73.6262458,0.006874539651362632
Gujarat,Navsari,20.952407,72.9323831,0.0211146575006138
Gujarat,Panchmahal,22.6978099,73.5980682,0.037318929535968576
Gujarat,Patan,23.773753,71.6798581,0.038301006629020376
Gujarat,Porbandar,21.6505229,69.6565371,0.024797446599558064
Gujarat,Rajkot City,22.3053263,70.8028377,0.08740486128161061
Gujarat,Sabarkantha,23.8688505,73.013784,0.05990670267616008
Gujarat,Surat City,21.2094892,72.8317058,0.12325067517800148
Gujarat,Surat Rural,22.296681,73.2535718,0.02602504296587282
Gujarat,Surendranagar,22.8251395,71.6209736,0.04026516081512399
Gujarat,Tapi,21.1916567,73.5560631,0.015713233488828873
Gujarat,Vadodara City,22.2973142,73.1942567,0.0979621900319175
Gujarat,Vadodara Rural,22.2367253,73.1802481,0.020623618954087895
Gujarat,Valsad,20.4321957,73.1409893,0.038301006629020376
Haryana,Ambala (Urban),12.9186803,77.5482356,0.037809968082494476
Haryana,Bhiwani,28.7931703,76.1391283,0.08863245764792536
Haryana,Faridabad,28.4031478,77.3105561,0.23889025288485147
Haryana,Fatehabad,29.5359209,75.5752901,0.06923643506015222
Haryana,Gurgaon,28.4646148,77.0299194,0.23545298305917015
Haryana,Hissar,29.839171,76.4373052,0.15001227596366315
Haryana,Jhajjar,28.5964461,76.6505366,0.08102136017677387
