state,district,lat,lng
A & N Islands,Nicobar,12.3649593,92.9242261
A & N Islands,North & Middle Andaman,13.2277144,92.9394925
A & N Islands,South Andaman,12.7720659,92.6556293
Andhra Pradesh,Anantapur,14.6783221,77.6065039
Andhra Pradesh,Chittoor,13.325036,79.6480611
Andhra Pradesh,Cuddapah,14.4956602,78.8349278
Andhra Pradesh,East Godavari,16.9956639,81.7154378
Andhra Pradesh,Guntur,16.2915189,80.4541588
Andhra Pradesh,Guntur Urban,16.3152154,80.4367429
Andhra Pradesh,Krishna,16.2135466,81.0277844
Andhra Pradesh,Kurnool,15.8309251,78.0425373
Andhra Pradesh,Nellore,14.4493717,79.9873763
Andhra Pradesh,Prakasham,17.0070088,81.7879635
Andhra Pradesh,Rajahmundry,17.0050454,81.7804732
Andhra Pradesh,Srikakulam,18.2949307,83.8938844
Andhra Pradesh,Tirupathi Urban,13.6171182,79.4205237
Andhra Pradesh,Vijayawada City,16.5115306,80.6160469
Andhra Pradesh,Visakha Rural,17.8044271,83.344824
Andhra Pradesh,Visakhapatnam,17.6935526,83.2921297
Andhra Pradesh,Vizianagaram,18.1141255,83.4114389
Andhra Pradesh,West Godavari,16.6443029,81.5885247
Arunachal Pradesh,Anjaw,28.1553856,96.8407212
Arunachal Pradesh,Changlang,27.2698797,96.0602442
Arunachal Pradesh,Dibang Valley,28.8291044,95.9554096
Arunachal Pradesh,Kameng East,27.557781,93.0753012
Arunachal Pradesh,Kameng West,27.2625165,92.4228984
Arunachal Pradesh,Kurung Kumey,27.9863677,93.1578347
Arunachal Pradesh,Lohit,28.0350162,96.1713515
Arunachal Pradesh,Longding,26.8794546,95.3155652
Arunachal Pradesh,Lower Dibang Valley,28.2149563,95.878774
Arunachal Pradesh,Siang,28.477492,94.8165573
Arunachal Pradesh,Siang East,28.0580363,95.3322182
Arunachal Pradesh,Siang Upper,29.1113601,95.3809335
Arunachal Pradesh,Siang West,28.4159693,94.6778789
Arunachal Pradesh,Subansiri Lower,27.5385824,93.815392
Arunachal Pradesh,Subansiri Upper,28.2596054,94.0938106
Arunachal Pradesh,Tawang,27.5879186,91.863733
Arunachal Pradesh,Tirap,27.030169,95.4979175
Assam,B. I. E. O.,26.4073841,93.2551303
Assam,Baksa,26.6275689,91.3388551
Assam,Barpeta,26.345941,91.039708
Assam,Biswanath,26.7938596,93.3591936
Assam,Bongaigaon,26.4800126,90.5580387
Assam,C. I. D.,26.4073841,93.2551303
Assam,Cachar,24.75864,92.8816648
Assam,Chirang,26.6464231,90.624157
Assam,Darrang,26.4373481,92.0047145
Assam,Dhemaji,27.5945155,94.7192098
Assam,Dhubri,26.132275,90.1249962
Assam,Dibrugarh,27.4844597,94.9019447
Assam,Dima Hasao,25.4003625,93.0752292
Assam,Goalpara,26.0491877,90.6001859
Assam,Golaghat,26.5108262,93.9743686
Assam,Guwahati City,26.1805978,91.753943
Assam,Hailakandi,24.6846916,92.5645836
Assam,Hamren,25.8449919,92.5748777
Assam,Hojai,25.9629402,92.981829
Assam,Jorhat,26.7577925,94.2079645
Assam,Kamrup,26.1468861,91.2227397
Assam,Karbi Anglong,26.0712781,93.4552969
Assam,Karimganj,24.5828196,92.3725487
Assam,Kokrajhar,26.4912104,90.1215209
Assam,Lakhimpur,27.1763356,94.1992932
Assam,Majuli,27.0219529,94.327423
Assam,Morigaon,26.2545556,92.3572669
Assam,Nagaon,26.3313646,92.7524763
Assam,Nalbari,26.3533632,91.3983662
Assam,R. P. O.,26.4073841,93.2551303
Assam,S. T. F.,26.4073841,93.2551303
Assam,Tinsukia,27.4879722,95.3601855
Assam,Sibsagar,26.9834936,94.6394226
Assam,Sonitpur,26.7677707,92.7014089
Assam,South Salmara,25.9056914,89.9918057
Assam,Udalguri,26.7047238,92.0421507
Bihar,Araria,26.1346459,87.4654062
Bihar,Arwal,25.1812832,84.6596648
Bihar,Aurangabad,24.8033201,84.4110198
Bihar,Bagaha,27.0590112,84.2064638
Bihar,Banka,24.8328273,86.8161114
Bihar,Begusarai,25.5125411,86.0883392
Bihar,Bettiah,26.8023,84.5074
Bihar,Kaimur,24.975466,83.5768379
Bihar,Bhagalpur,25.2861354,87.1304229
Bihar,Bhojpur,25.4501182,84.5635193
Bihar,Buxar,25.5044834,84.1097525
Bihar,Darbhanga,26.0829899,86.0324951
Bihar,Gaya,24.7964355,85.0079563
Bihar,Gopalganj,26.4211166,84.3739133
Bihar,Jamui,24.7562514,86.3011128
Bihar,Jehanabad,25.1529579,85.0065043
Bihar,Katihar,25.5586421,87.6457196
Bihar,Khagaria,25.4930513,86.6982264
Bihar,Kishanganj,26.2984144,87.9466715
Bihar,Lakhisarai,25.1543938,86.1744959
Bihar,Madhepura,25.7806118,86.9364753
Bihar,Madhubani,26.3503076,86.2296424
Bihar,Motihari,26.6506888,84.9114654
Bihar,Munger,25.2202864,86.5161484
Bihar,Muzaffarpur,26.1482548,85.3316097
Bihar,Nalanda,25.1364914,85.4436546
Bihar,Naugachia,25.3857731,87.0997616
Bihar,Nawadah,24.8858896,85.5481255
Bihar,Patna,25.6093239,85.1235252
Bihar,Purnea,25.7773601,87.4731227
Bihar,Rohtas,24.9394143,84.0197031
Bihar,Saharsa,25.8330757,86.6143751
Bihar,Samastipur,25.7747885,85.8672314
Bihar,Saran,25.9214451,84.7759731
Bihar,Sheikhpura,25.1250741,85.8160771
Bihar,Sheohar,26.4934234,85.2717561
Bihar,Sitamarhi,26.5942841,85.500428
Bihar,Siwan,26.131008,84.3910745
Bihar,Supaul,26.2768089,86.7959614
Bihar,Vaishali,25.7491703,85.3972164
Chandigarh,Chandigarh,30.7334421,76.7797143
Chhattisgarh,Balod,20.7277192,81.1446948
Chhattisgarh,Balrampur,23.6282576,83.4810916
Chhattisgarh,Bemetara,21.6783867,81.4412578
Chhattisgarh,Bilaspur,22.1638486,82.1365923
Chhattisgarh,Bijapur,18.7935679,80.815939
Chhattisgarh,Dantewara,18.9080594,81.3557636
Chhattisgarh,Dhamtari,20.5326259,81.7155987
Chhattisgarh,Durg,21.1982964,81.4007922
Chhattisgarh,Gariyaband,20.5267561,82.1917217
Chhattisgarh,Jagdalpur,19.0870758,82.0235715
Chhattisgarh,Janjgir,22.0090841,82.578896
Chhattisgarh,Jashpur,22.770251,83.9708013
Chhattisgarh,Kabirdham,22.1150085,81.2446944
Chhattisgarh,Kanker,20.2692747,81.4932111
Chhattisgarh,Kondagaon,19.5885769,81.6628742
Chhattisgarh,Korba,22.5198217,82.6350029
Chhattisgarh,Koriya,23.476254,82.4776374
Chhattisgarh,Mahasamund,21.1922846,82.4890263
Chhattisgarh,Mungeli,22.0661098,81.6874282
Chhattisgarh,Narayanpur,19.5842032,81.1136986
Chhattisgarh,Raigarh,22.2361795,83.3529534
Chhattisgarh,Raipur,21.2380912,81.6336993
Chhattisgarh,Rajnandgaon,21.0684425,80.7970779
Chhattisgarh,Surguja,22.9470108,83.1656868
Chhattisgarh,Sukma,18.2665423,81.2925234
Chhattisgarh,Surajpur,23.3577769,82.9761277
D&N Haveli,Dadra and Nagar Haveli,20.2733946,73.0044983
Daman & Diu,Daman,20.4169701,72.833173
Daman & Diu,Diu,20.7260366,70.9843583
Delhi Ut,Central,22.5724857,88.3587427
Delhi Ut,East,12.8504319,77.6601401
Delhi Ut,New Delhi,28.6138954,77.2090057
Delhi Ut,North,10.5276682,79.5078054
Delhi Ut,North-East,26.1144181,91.8053225
Delhi Ut,North-West,13.0222347,77.5671832
Delhi Ut,Outer,28.7603404,77.0362476
Delhi Ut,South,28.4992605,77.1743624
Delhi Ut,South-East,28.5591636,77.2402846
Delhi Ut,South-West,5.3116321,100.2656047
Delhi Ut,West,28.6409705,77.0949778
Goa,C. I. D.,15.3004543,74.0855134
Goa,North Goa,15.6038925,73.9967006
Goa,South Goa,15.3376121,73.9937035
Gujarat,Ahmedabad City,23.0215374,72.5800568
Gujarat,Ahmedabad Rural,22.5809103,72.9784557
Gujarat,Amreli,21.4176122,71.249609
Gujarat,Anand,22.4739858,72.7361779
Gujarat,Aravalli,23.4843216,73.3986096
Gujarat,Banaskantha,24.2693869,72.5367513
Gujarat,Bharuch,21.7080427,72.9956936
Gujarat,Bhavnagar,21.7718836,72.1416449
Gujarat,Botad,22.0467097,71.6689617
Gujarat,Chhota Udaipur,22.2224345,73.7778749
Gujarat,Dahod,22.9194099,74.1342725
Gujarat,Dang,20.7881718,73.7092033
Gujarat,Devbhumi Dwarka,22.2473679,68.9682073
Gujarat,Gandhinagar,23.2232877,72.6492267
Gujarat,Gir Somnath,20.9298181,70.7627578
Gujarat,Jamnagar,22.4732415,70.0552102
Gujarat,Junagadh,21.5220416,70.4582458
Gujarat,Kheda,22.8532503,72.9953586
Gujarat,Mahisagar,23.1912194,73.6644398
Gujarat,Mehsana,23.6012628,72.3741516
Gujarat,Morbi,22.8003959,70.886232
Gujarat,Narmada,21.7392624,73.6262458
Gujarat,Navsari,20.952407,72.9323831
Gujarat,Panchmahal,22.6978099,73.5980682
